Subscriptions|StudentID
StudentID|Int32|8|BookID|Int32|8|OutDate|String|40|InDate|String|40
       1|       1|01.06.2023|08.06.2023
       1|       2|02.06.2023|09.06.2023
       3|       3|03.06.2023|10.06.2023
       4|       4|04.06.2023|11.06.2023
       5|       5|05.06.2023|12.06.2023
       1|       3|06.06.2023|13.06.2023
       1|       5|07.06.2023|14.06.2023
       3|       8|08.06.2023|15.06.2023
       4|       9|09.06.2023|16.06.2023
       5|       1|10.06.2023|17.06.2023
       4|       1|09.06.2023|16.06.2023
